,toi,toipfx,pl_tranmid,pl_trandurh,pl_orbper,pl_trandep,pl_rade,st_teff,st_logg,st_rad,ra,dec,st_pmra,st_pmdec,pl_tranmiderr1,pl_tranmiderr2,pl_orbpererr1,pl_orbpererr2,pl_radeerr1,pl_radeerr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2
29,EPIC 201247497.01,EPIC 201247497,2456810.8999,1.32,2.75421,746.0,8.4,,,0.89,177.9464521,-3.2460183,-20.9618,10.9812,0.002,-0.0019,0.00012,-0.00012,1.2,-6.8,,,,,0.063,-0.01,0.17973,-0.17973,0.108323,-0.108323
30,EPIC 201247497.01,EPIC 201247497,2456810.9031,1.0296,2.75391,,3.78,3918.0,4.846,0.436,177.9464521,-3.2460183,-20.9618,10.9812,0.0023,-0.0023,0.00015,-0.00015,0.68,-0.68,46.0,-46.0,0.05,-0.05,0.027,-0.027,0.17973,-0.17973,0.108323,-0.108323
31,EPIC 201257461.01,EPIC 201257461,2456828.355,12.62,50.285869,184.0,3.47,4859.0,,0.74,178.1611264,-3.0949095,-7.91616,-1.91747,,,,,,,,,,,,,0.0743624,-0.0743624,0.0390037,-0.0390037
32,EPIC 201257461.01,EPIC 201257461,2456828.3735,,50.27762,,209.52,5141.0,,10.96,178.1611264,-3.0949095,-7.91616,-1.91747,0.0397,-0.0397,0.00785,-0.00785,99.23,-99.23,38.0,-42.0,,,0.82,-0.93,0.0743624,-0.0743624,0.0390037,-0.0390037
33,EPIC 201258341.01,EPIC 201258341,2456818.9185,3.384,10.50439,40.2,1.75,,,0.878,178.6905819,-3.0828192,-115.267,-1.98354,0.0026,-0.0026,0.00059,-0.00061,0.15,-0.43,,,,,0.018,-0.02,0.105771,-0.105771,0.0437805,-0.0437805
34,EPIC 201259803.01,EPIC 201259803,2456810.89293,1.3224,1.684208,1476.0,5.51,,,0.431,170.382257,-3.0610326,-40.0582,-1.46198,0.00069,-0.00067,2.4e-05,-2.4e-05,0.67,-0.9,,,,,0.051,-0.069,0.158321,-0.158321,0.0932371,-0.0932371
35,EPIC 201264302.01,EPIC 201264302,2456810.4898,0.624,0.2122013,72.5,0.519,,,0.188,169.5971097,-2.9913978,-166.05,52.5138,0.00048,-0.00049,2.3e-06,-1.8e-06,0.046,-0.123,,,,,0.01,-0.004,0.08803,-0.08803,0.0584635,-0.0584635
36,EPIC 201264302.01,EPIC 201264302,2456810.278,0.52,0.21219899,66.19999999999999,1.05,3468.0,,0.37,169.5971097,-2.9913978,-166.05,52.5138,,,,,,,,,,,,,0.08803,-0.08803,0.0584635,-0.0584635
37,EPIC 201264302.01,EPIC 201264302,2456812.40015,,0.212194,,0.77,3299.0,5.106,0.26,169.5971097,-2.9913978,-166.05,52.5138,0.00064,-0.00063,2.6e-05,-2.6e-05,0.18,-0.18,,,,,0.05,-0.05,0.08803,-0.08803,0.0584635,-0.0584635
38,EPIC 201270176.01,EPIC 201270176,2456810.434,3.02,1.5778643,891.0,7.55,4811.0,,0.73,170.1325248,-2.9026339,-14.9316,-10.7001,,,,,,,,,,,,,0.0797434,-0.0797434,0.0572672,-0.0572672
39,EPIC 201270176.01,EPIC 201270176,2456818.326995,3.086,1.57771549,1823.0,,5163.0,4.25178,1.15585,170.1325248,-2.9026339,-14.9316,-10.7001,,,,,,,166.99,-108.12,0.075081,-0.108147,0.065907,-0.089747,0.0797434,-0.0797434,0.0572672,-0.0572672
40,EPIC 201270464.01,HIP 55390,2456818.327691,2.993,1.57771549,875.0,,7333.0,3.83915,2.56752,170.133417,-2.8982132,-12.1525,-11.8093,,,,,,,97.84,-154.55,0.105775,-0.058461,0.111879,-0.093196,0.0966423,-0.0966423,0.0721855,-0.0721855
41,EPIC 201274010.01,EPIC 201274010,2457589.515,2.2008,13.0113,65.0,2.43,5347.0,4.51267,0.880221,183.3092954,-2.844186,4.72775,-8.96233,0.0086,-0.0123,0.0052,-0.00422,0.25,-0.24,122.0,-122.0,,,,,0.0640688,-0.0640688,0.0408026,-0.0408026
42,EPIC 201291843.01,EPIC 201291843,2456823.294921,1.621,40.70206194,536.0,,3759.0,4.67427,0.572892,178.420349,-2.5717754,-118.042,1.39187,,,,,,,157.0,-157.0,0.010428,-0.010428,0.017217,-0.017217,0.0648342,-0.0648342,0.0321362,-0.0321362
