,toi,toipfx,pl_tranmid,pl_trandurh,pl_orbper,pl_trandep,pl_rade,st_teff,st_logg,st_rad,ra,dec,st_pmra,st_pmdec,pl_tranmiderr1,pl_tranmiderr2,pl_orbpererr1,pl_orbpererr2,pl_radeerr1,pl_radeerr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2
1628,EPIC 229004835 b,EPIC 229004835,2457597.6294,2.1,16.13655,36.0,2.02,5886.0,4.47031,0.995311,186.4860415,-1.4047214,-129.128,-34.0561,0.0039,-0.0035,0.00168,-0.00182,0.12,-0.08,150.51,-93.23,0.057459,-0.097321,0.043043,-0.050244,0.111688,-0.111688,0.0743902,-0.0743902
1629,EPIC 229004835 b,EPIC 229004835,2457920.44584,,16.141132,,2.332,5868.0,,0.999,186.4860415,-1.4047214,-129.128,-34.0561,0.0008,-0.0008,1.9e-05,-1.9e-05,0.08,-0.094,60.0,-60.0,,,0.008,-0.008,0.111688,-0.111688,0.0743902,-0.0743902
1630,EPIC 229004835 b,EPIC 229004835,2457613.7661,,16.1388,,2.18,5839.0,4.42,0.998,186.4860415,-1.4047214,-129.128,-34.0561,0.0019,-0.0019,0.0016,-0.0016,0.13,-0.07,100.0,-100.0,0.08,-0.08,0.036,-0.036,0.111688,-0.111688,0.0743902,-0.0743902
1631,EPIC 229004835 b,EPIC 229004835,2457597.62469,,16.140442,,2.05969274,5870.0,4.4,0.975013,186.4860415,-1.4047214,-129.128,-34.0561,0.002511,-0.002721,0.001181,-0.001223,0.23250804,-0.15109133,50.0,-50.0,0.1,-0.1,0.08824,-0.052845,0.111688,-0.111688,0.0743902,-0.0743902
1632,EPIC 229039390.01,EPIC 229039390,2457582.62123,,0.251647,,27.97665274,5833.0,4.41,0.986936,188.1403092,-0.6729323,17.487,5.95429,0.000109,-0.000108,1e-06,-1e-06,26.75313319,-12.06583921,50.0,-50.0,0.1,-0.1,0.08794,-0.048308,0.0944216,-0.0944216,0.0660166,-0.0660166
1633,EPIC 229103251.01,EPIC 229103251,2457589.7039,3.1008,11.67254,114.0,3.87,5725.0,4.26894,1.22705,190.7982936,0.8635072,-22.3684,-11.2296,0.0131,-0.014,0.00454,-0.00402,0.47,-0.36,122.0,-122.0,,,,,0.0513318,-0.0513318,0.0326067,-0.0326067
1634,EPIC 229133720.01,EPIC 229133720,2457583.9634,1.5,4.03692,91.0,2.24,4861.07,4.60421,0.735009,187.1349231,1.6134271,13.1335,-49.6647,0.0013,-0.0012,0.00013,-0.00014,0.12,-0.07,130.28,-154.61,0.117758,-0.085871,0.061788,-0.053267,0.104066,-0.104066,0.0569043,-0.0569043
1635,EPIC 229133720.01,EPIC 229133720,2457583.96448,,4.036791,,2.33800166,4933.0,4.65,0.72841,187.1349231,1.6134271,13.1335,-49.6647,0.00114,-0.001111,0.000113,-0.000112,0.45280868,-0.19456084,50.0,-50.0,0.1,-0.1,0.021754,-0.02078,0.104066,-0.104066,0.0569043,-0.0569043
1636,EPIC 229228348.01,EPIC 229228348,2457301.9211,1.7208,3.137611,3671.0,,3579.0,4.8253,0.452762,289.5273235,-16.3430978,-1.39204,1.94346,0.00073,-0.00072,4.8e-05,-4.9e-05,,,126.0,-126.0,,,,,0.238111,-0.238111,0.232051,-0.232051
1637,EPIC 230517965.01,EPIC 230517965,2457662.623793,0.98,9.632039,,2.279,4646.0,4.608,0.697,255.5980784,-21.7131268,-106.257,-102.623,0.002877,-0.002661,0.000579,-0.000592,0.527,-0.414,272.0,-272.0,0.159,-0.159,0.146,-0.119,0.164311,-0.164311,0.100988,-0.100988
1638,EPIC 236744423.01,EPIC 236744423,2457664.991511,4.3,18.239311,,3.792,4015.0,4.809,0.477,258.2351419,-26.0969068,-18.876,-75.5581,0.006456,-0.005963,0.003229,-0.003213,0.373,-0.36,194.0,-194.0,0.155,-0.155,0.043,-0.041,0.334322,-0.334322,0.25977,-0.25977
1639,EPIC 245928102.01,EPIC 245928102,2457749.378528,2.6,11.109675,,2.462,4813.0,4.66,0.657,351.7535428,-11.8109993,-8.32489,-23.7364,0.004507,-0.004112,0.001046,-0.001168,0.217,-0.202,138.0,-138.0,0.15,-0.15,0.047,-0.044,0.0601139,-0.0601139,0.0445642,-0.0445642
1640,EPIC 245944983.01,EPIC 245944983,2460230.688907,2.426,5.1392756,86.2,2.17365,4014.0,4.53,0.71,355.128863,-11.0214947,109.474,25.5001,0.0060465,-0.0060465,1.28e-05,-1.28e-05,0.218875,-0.218875,121.3,-121.3,0.12,-0.12,0.07,-0.07,0.0462712,-0.0462712,0.0321389,-0.0321389
1641,EPIC 245944983.01,EPIC 245944983,2452910.267,,5.138,73.0,,,,,355.128863,-11.0214947,109.474,25.5001,,,0.002,-0.002,,,,,,,,,0.0462712,-0.0462712,0.0321389,-0.0321389
1642,EPIC 246022853.01,EPIC 246022853,2457744.3949,,10.7228,,1.2998,5909.0,4.287,1.114,349.9867362,-8.9050571,27.6,-11.9,0.0036,-0.0042,0.0011,-0.0011,0.0689,-0.069,138.0,-138.0,0.15,-0.15,0.162,-0.141,2.6,-2.6,2.7,-2.7
1643,EPIC 246030759.01,EPIC 246030759,2457751.00074,2.9,29.957262,,8.456,4897.0,4.695,0.711,357.0730126,-8.7006553,1.70319,0.886533,0.004637,-0.005563,0.003224,-0.002937,2.34,-1.019,138.0,-138.0,0.15,-0.15,0.051,-0.048,0.0573766,-0.0573766,0.0447097,-0.0447097
1644,EPIC 246042088.01,EPIC 246042088,2457740.2722,,8.04473,,,4975.0,,0.79,350.0195346,-8.4343947,-6.84519,-10.5684,0.0043,-0.0051,0.0008,-0.00083,,,,,,,0.02,-0.02,0.0873618,-0.0873618,0.0718735,-0.0718735
1645,EPIC 246042088.02,EPIC 246042088,2457750.0262,,11.82469,,,4975.0,,0.79,350.0195346,-8.4343947,-6.84519,-10.5684,0.0031,-0.0026,0.00088,-0.0009,,,,,,,0.02,-0.02,0.0873618,-0.0873618,0.0718735,-0.0718735
1646,EPIC 246048459.01,EPIC 246048459,2457738.6563,,2.0507,,0.4064,4514.0,4.703,0.645,348.0387584,-8.2921344,14.6568,-183.025,0.003,-0.0023,0.0001,-0.0001,0.0302,-0.0266,138.0,-138.0,0.15,-0.15,0.047,-0.044,0.0843313,-0.0843313,0.0589078,-0.0589078
1647,EPIC 246061904.01,EPIC 246061904,2457740.018391,3.0,7.084267,,3.848,4572.0,4.617,0.765,346.0424212,-7.9825154,28.8686,-20.4244,0.00135,-0.001443,0.000222,-0.000222,0.332,-0.273,138.0,-138.0,0.15,-0.15,0.056,-0.052,0.0511286,-0.0511286,0.0377299,-0.0377299
1648,EPIC 246061904.02,EPIC 246061904,2457755.973355,3.9,20.676056,,3.302,4572.0,4.617,0.765,346.0424212,-7.9825154,28.8686,-20.4244,0.00427,-0.008652,0.006081,-0.006199,0.281,-0.246,138.0,-138.0,0.15,-0.15,0.056,-0.052,0.0511286,-0.0511286,0.0377299,-0.0377299
1649,EPIC 246067130.01,EPIC 246067130,2457739.075561,2.9,6.786539,,1.2,5866.0,4.361,0.975,354.2581572,-7.8639765,43.9328,3.79465,0.006505,-0.003961,0.000527,-0.00094,0.09,-0.087,138.0,-138.0,0.15,-0.15,0.057,-0.053,0.0614401,-0.0614401,0.0491099,-0.0491099
1650,EPIC 246088339.01,EPIC 246088339,2457740.602566,2.4,2.988541,,3.504,5761.0,4.364,1.023,353.7202859,-7.3941695,-4.70382,-10.8804,0.001122,-0.00143,8.5e-05,-8.3e-05,0.254,-0.224,138.0,-138.0,0.15,-0.15,0.063,-0.058,0.0445478,-0.0445478,0.0369928,-0.0369928
1651,EPIC 246120353.01,EPIC 246120353,2457758.905605,3.0,21.436032,,2.486,3627.0,4.767,0.467,352.9768715,-6.6955881,21.3007,26.7646,0.003303,-0.00343,0.003287,-0.002372,0.105,-0.108,138.0,-138.0,0.029,-0.029,0.014,-0.014,0.0837971,-0.0837971,0.0567227,-0.0567227
1652,EPIC 246163416.01,EPIC 246163416,2457738.8554,,0.8768,,8.4683,3734.0,4.724,0.515,352.0865075,-5.7778541,166.68,62.66,0.0007,-0.0007,2e-05,-2e-05,4.3149,-2.8121,138.0,-138.0,0.062,-0.068,0.026,-0.025,2.0,-2.0,2.0,-2.0
1653,EPIC 246163416.01,EPIC 246163416,2457738.852,,0.877,50.0,,,,,352.0865075,-5.7778541,166.68,62.66,,,0.003,-0.004,,,,,,,,,2.0,-2.0,2.0,-2.0
1654,EPIC 246178445.01,EPIC 246178445,2457743.804,,6.39595,,,3972.0,,0.68,347.4535633,-5.4664297,-38.415,6.17193,0.0057,-0.0039,0.0005,-0.00048,,,,,,,0.01,-0.04,0.0658304,-0.0658304,0.0527709,-0.0527709
1655,EPIC 246260670.01,EPIC 246260670,2457740.804256,2.4,3.853494,,6.957,4459.0,4.619,0.744,352.1761121,-3.8464108,5.63646,-7.48632,0.000709,-0.000749,6.9e-05,-6.5e-05,0.585,-0.965,138.0,-138.0,0.15,-0.15,0.059,-0.055,0.109336,-0.109336,0.0561813,-0.0561813
1656,EPIC 246261316.01,EPIC 246261316,2457741.724595,2.4,4.696045,,2.57,5003.0,4.605,0.782,353.7077699,-3.8349446,20.9836,-8.11498,0.001686,-0.001468,0.000146,-0.000158,0.197,-0.17,138.0,-138.0,0.15,-0.15,0.054,-0.049,0.0488684,-0.0488684,0.0416459,-0.0416459
1657,EPIC 246265680.01,EPIC 246265680,2457739.1896,,8.6387,,,5120.0,,0.647,350.2702189,-3.7521409,4.12852,-13.4689,0.0074,-0.0064,0.0014,-0.0014,,,,,,,0.087,-0.087,0.130058,-0.130058,0.112425,-0.112425
1658,EPIC 246270904.01,EPIC 246270904,2457739.596,,3.98547,,,4256.0,,0.72,355.5083421,-3.6505699,-13.8897,-19.8214,0.002,-0.002,0.00017,-0.00017,,,,,,,0.01,-0.03,0.0845862,-0.0845862,0.0639705,-0.0639705
1659,EPIC 246290342.01,EPIC 246290342,2457746.427966,3.7,16.607299,,2.532,4878.0,4.685,0.756,354.1624687,-3.2611299,25.2003,-18.5774,0.005224,-0.005085,0.002311,-0.002147,0.225,-0.208,138.0,-138.0,0.15,-0.15,0.058,-0.053,0.0645491,-0.0645491,0.0453432,-0.0453432
1660,EPIC 246310303.01,EPIC 246310303,2457751.74857,4.1,16.980197,,2.705,5319.0,4.482,0.879,349.6506778,-2.8591956,-22.0395,-16.9983,0.005287,-0.005038,0.002759,-0.002137,0.211,-0.191,138.0,-138.0,0.15,-0.15,0.058,-0.053,0.0640093,-0.0640093,0.0421123,-0.0421123
1661,EPIC 246313886.01,EPIC 246313886,2457739.474,,1.827,35.0,0.99,3949.0,4.753,0.503,353.7831638,-2.7844255,16.2812,12.5852,,,0.002,-0.002,0.11,-0.09,54.0,-54.0,0.012,-0.012,0.005,-0.005,0.0561865,-0.0561865,0.0432843,-0.0432843
1662,EPIC 246317113.01,EPIC 246317113,2457739.56719,2.1,1.29655,,8.559,3583.0,4.645,0.586,354.2752059,-2.7205541,23.2512,-12.3999,0.000556,-0.000568,1.5e-05,-1.5e-05,0.475,-0.461,138.0,-138.0,0.309,-0.309,0.032,-0.031,2.31174,-2.31174,2.31169,-2.31169
1663,EPIC 246325464.01,EPIC 246325464,2457740.591167,2.1,3.379516,,4.742,4940.0,4.585,0.741,351.0241094,-2.5555671,7.39588,-15.0266,0.001117,-0.00119,8.7e-05,-8.6e-05,0.563,-0.737,154.0,-154.0,0.153,-0.153,0.071,-0.066,2.14992,-2.14992,2.14141,-2.14141
1664,EPIC 246331347.01,EPIC 246331347,2457739.474,,1.082,162.0,2.22,3408.0,4.399,0.516,348.6795029,-2.4404113,78.0745,11.0596,,,0.001,-0.001,0.21,-0.18,17.0,-17.0,0.062,-0.062,0.009,-0.009,0.119846,-0.119846,0.0774317,-0.0774317
1665,EPIC 246331347.01,EPIC 246331347,2457739.46821,1.2,1.082361,,7.158,5556.0,4.032,1.721,348.6795029,-2.4404113,78.0745,11.0596,0.002574,-0.002741,5.7e-05,-5.2e-05,1.425,-0.595,138.0,-138.0,0.15,-0.15,0.123,-0.114,0.119846,-0.119846,0.0774317,-0.0774317
1666,EPIC 246331418.01,EPIC 246331418,2457741.005,,3.35,63.0,0.97,4408.0,4.617,0.427,349.3875149,-2.4390121,-19.8913,-53.6398,,,0.002,-0.002,0.11,-0.11,5.0,-5.0,0.013,-0.013,0.004,-0.004,0.0812736,-0.0812736,0.0558563,-0.0558563
1667,EPIC 246331418.02,EPIC 246331418,2457744.661,,9.32,109.0,1.43,4408.0,4.617,0.427,349.3875149,-2.4390121,-19.8913,-53.6398,,,0.001,-0.001,0.13,-0.14,5.0,-5.0,0.013,-0.013,0.004,-0.004,0.0812736,-0.0812736,0.0558563,-0.0558563
1668,EPIC 246356732.01,EPIC 246356732,2457738.6089,,13.9145,,,6640.0,,1.6,349.8478712,-1.9405959,8.00084,9.40327,0.0078,-0.0079,0.0022,-0.002,,,,,,,0.07,-0.07,0.0775487,-0.0775487,0.068537,-0.068537
1669,EPIC 246362870.01,EPIC 246362870,2457739.4544,,4.03776,,,4689.0,,0.58,344.4629047,-1.8198006,17.0381,-19.805,0.0037,-0.0041,0.00035,-0.0003,,,,,,,0.03,-0.02,0.0639858,-0.0639858,0.0424905,-0.0424905
1670,EPIC 246366798.01,EPIC 246366798,2457739.528604,4.0,7.539949,,2.511,5661.0,4.338,1.205,350.0155012,-1.7437843,-8.93057,-19.2772,0.006945,-0.005832,0.001121,-0.001166,0.175,-0.168,138.0,-138.0,0.15,-0.15,0.074,-0.071,0.0657159,-0.0657159,0.0360276,-0.0360276
1671,EPIC 246377038.01,EPIC 246377038,2457740.709459,1.8,5.10555,,10.889,4938.0,4.621,1.109,345.1577409,-1.5441849,13.7308,-4.02997,0.001639,-0.001686,0.000183,-0.000192,2.849,-1.243,138.0,-138.0,0.15,-0.15,0.095,-0.09,0.0987987,-0.0987987,0.0762062,-0.0762062
1672,EPIC 246380972.01,EPIC 246380972,2457743.82448,3.3,17.768404,,2.787,4961.0,4.667,0.763,345.9314466,-1.4652536,0.958079,-20.6863,0.00312,-0.003803,0.002014,-0.001981,0.233,-0.213,138.0,-138.0,0.15,-0.15,0.053,-0.05,0.0491994,-0.0491994,0.044415,-0.044415
1673,EPIC 246405278.01,EPIC 246405278,2457741.111288,3.5,4.464438,,6.184,5894.0,4.145,1.434,348.7721002,-0.830983,-5.9971,-5.81666,0.001748,-0.001497,0.000185,-0.000155,0.485,-0.446,138.0,-138.0,0.15,-0.15,0.098,-0.091,0.0464008,-0.0464008,0.0362833,-0.0362833
1674,EPIC 246429728.01,EPIC 246429728,2457742.677512,2.0,11.416439,,3.034,3668.0,4.826,0.451,350.1831527,-0.0590058,96.8357,53.1375,0.003494,-0.004113,0.000951,-0.00077,0.326,-0.207,138.0,-138.0,0.032,-0.032,0.017,-0.017,0.136176,-0.136176,0.110506,-0.110506
1675,EPIC 246448041.01,EPIC 246448041,2457739.902536,3.1,7.21084,,2.26,5739.0,4.286,1.053,347.8976872,0.5153821,-11.9257,-9.9041,0.005413,-0.005589,0.001106,-0.001122,0.201,-0.188,138.0,-138.0,0.15,-0.15,0.068,-0.062,0.0478984,-0.0478984,0.0367335,-0.0367335
1676,EPIC 246711015.01,EPIC 246711015,2457820.786269,2.7,13.284219,,1.233,3245.0,5.24,0.124,75.5563777,14.7101176,,,0.008432,-0.012194,0.002846,-0.00188,0.116,-0.094,138.0,-138.0,0.144,-0.144,0.02,-0.02,,,,
1677,EPIC 246711015.02,EPIC 246711015,2457821.192314,3.7,24.213117,,0.505,3245.0,5.24,0.124,75.5563777,14.7101176,,,0.008689,-0.007076,0.003408,-0.003407,0.088,-0.084,138.0,-138.0,0.144,-0.144,0.02,-0.02,,,,
1678,EPIC 246777408.01,EPIC 246777408,2457821.022718,5.5,2.46564,,30.186,7068.0,3.927,2.497,69.3533869,15.4943603,-1.03091,-13.5737,0.002097,-0.002116,0.00011,-0.000118,1.704,-1.585,138.0,-138.0,0.15,-0.15,0.136,-0.125,0.0825803,-0.0825803,0.0556538,-0.0556538
1679,EPIC 246851148.01,EPIC 246851148,2457823.124868,3.0,18.896192,,1.975,4459.0,4.654,0.545,70.9953724,16.2730809,-31.5604,-12.3765,0.003138,-0.003313,0.001001,-0.001179,0.175,-0.152,138.0,-138.0,0.15,-0.15,0.041,-0.038,0.0960751,-0.0960751,0.0446263,-0.0446263
1680,EPIC 246851721 b,EPIC 246851721,2458439.87506,,6.1802679,,,6202.0,4.157,1.586,78.9198197,16.2786991,2.71745,-12.9828,0.00025,-0.00025,2e-06,-2e-06,,,52.0,-50.0,0.016,-0.016,0.034,-0.033,0.112019,-0.112019,0.0944102,-0.0944102
1681,EPIC 246851721 b,EPIC 246851721,2457865.11032,4.10808,6.180235,464.0,11.780659,6202.0,4.157,1.586,78.9198197,16.2786991,2.71745,-12.9828,0.0001,-0.0001,1.4e-05,-1.4e-05,0.493196,-0.493196,52.0,-50.0,0.016,-0.016,0.034,-0.033,0.112019,-0.112019,0.0944102,-0.0944102
1682,EPIC 246851721 b,EPIC 246851721,2459175.327301,4.1830206,6.18026138745,538.38458,13.70374653,6513.0,4.08,1.73931,78.9198197,16.2786991,2.71745,-12.9828,0.00051141,-0.00051141,6.60177e-06,-6.60177e-06,0.88235235,-0.88235235,132.8,-132.8,0.1,-0.1,0.110633,-0.110633,0.112019,-0.112019,0.0944102,-0.0944102
1683,EPIC 246899433.01,EPIC 246899433,2457821.048542,4.3,13.107894,,25.768,5732.0,4.353,1.081,78.1911989,16.7482531,4.22838,-3.35443,0.000448,-0.00046,0.000121,-0.000122,26.393,-11.661,138.0,-138.0,0.15,-0.15,1.107,-0.489,2.22474,-2.22474,2.22471,-2.22471
1684,EPIC 246909566.01,EPIC 246909566,2457821.974,,1.925,216.0,1.07,3067.0,4.772,0.236,77.5234499,16.8450859,-44.5756,-85.4438,,,0.003,-0.004,0.09,-0.08,5.0,-5.0,0.027,-0.027,0.004,-0.004,0.247985,-0.247985,0.177107,-0.177107
1685,EPIC 246920193.01,EPIC 246920193,2457826.2293,,10.1997,,,5340.0,,0.97,73.9932162,16.9493593,25.8176,-10.4493,0.007,-0.0059,0.0018,-0.0024,,,,,,,0.05,-0.06,0.0755651,-0.0755651,0.0475557,-0.0475557
1686,EPIC 246947582.01,EPIC 246947582,2457824.638908,6.6,21.371372,,16.514,4692.0,4.413,1.14,71.8635481,17.2130767,40.971,-29.3558,0.000373,-0.000377,0.000215,-0.0002,1.252,-1.156,138.0,-138.0,0.15,-0.15,0.086,-0.079,0.0839644,-0.0839644,0.0425692,-0.0425692
1687,EPIC 246987084.01,EPIC 246987084,2457825.332686,2.9,7.098695,,1.837,4857.0,4.676,0.681,74.0079876,17.5977628,-0.389245,-21.4689,0.005916,-0.004639,0.000782,-0.001165,0.153,-0.137,138.0,-138.0,0.15,-0.15,0.051,-0.045,0.064393,-0.064393,0.0367194,-0.0367194
1688,EPIC 247047370.01,EPIC 247047370,2459477.465265,1.1574129,4.20507412692,128.01794,3.32404522,5086.0,4.48,0.877822,74.7008149,18.16905,70.8949,-69.206,0.00161229,-0.00161229,0.00023857976,-0.00023857976,1.7236704,-1.7236704,315.4,-315.4,0.12,-0.12,0.057573,-0.057573,0.0837608,-0.0837608,0.0584742,-0.0584742
1689,EPIC 247047370.01,EPIC 247047370,2457824.7113,,4.20566,,,5006.0,,0.9,74.7008149,18.16905,70.8949,-69.206,0.0013,-0.0015,0.00018,-0.00016,,,,,,,0.03,-0.02,0.0837608,-0.0837608,0.0584742,-0.0584742
1690,EPIC 247063356.01,EPIC 247063356,2457825.67,,9.7051,,,5090.0,,1.24,73.6995075,18.3215571,-5.35605,-2.0084,0.0064,-0.0066,0.0016,-0.0015,,,,,,,0.14,-0.11,0.0876367,-0.0876367,0.0467218,-0.0467218
1691,EPIC 247122439.01,EPIC 247122439,2457820.883182,1.3,0.73217,,1.108,4641.0,4.526,0.827,73.992015,18.8833322,1.83229,-37.9577,0.001194,-0.001,1.9e-05,-2e-05,0.096,-0.084,138.0,-138.0,0.15,-0.15,0.061,-0.055,0.0418225,-0.0418225,0.0250777,-0.0250777
1692,EPIC 247164043.01,EPIC 247164043,2457821.492818,3.5,5.228352,,2.282,6265.0,4.223,1.272,73.8415994,19.2809257,36.1173,5.56178,0.000667,-0.001832,0.000415,-9.5e-05,0.126,-0.123,138.0,-138.0,0.15,-0.15,0.067,-0.066,0.117973,-0.117973,0.0678622,-0.0678622
1693,EPIC 247164043.01,EPIC 247164043,2459520.906327,3.386,5.2289874,32.0,2.3513,6213.0,4.3,1.28,73.8415994,19.2809257,36.1173,5.56178,0.0038721,-0.0038721,1.21e-05,-1.21e-05,0.114674,-0.114674,161.2,-161.2,0.09,-0.09,0.06,-0.06,0.117973,-0.117973,0.0678622,-0.0678622
1694,EPIC 247223703.01,EPIC 247223703,2457822.9313,,3.1764,,0.9532,4434.0,4.631,0.741,71.9316438,19.8490823,-15.4942,-27.0139,0.0092,-0.0057,0.0005,-0.0005,0.0796,-0.0734,138.0,-138.0,0.15,-0.15,0.056,-0.051,0.0579322,-0.0579322,0.0321036,-0.0321036
1695,EPIC 247226616.01,EPIC 247226616,2457821.616034,5.8,2.419472,,36.563,6830.0,3.97,2.476,78.8181783,19.8769875,-0.556529,-12.425,0.000521,-0.000489,2.5e-05,-2.8e-05,2.058,-1.94,138.0,-138.0,0.15,-0.15,0.139,-0.131,0.0578706,-0.0578706,0.0427636,-0.0427636
1696,EPIC 247281516.01,EPIC 247281516,2457826.768729,6.7,6.770834,,25.455,6310.0,4.014,2.243,74.2364738,20.385205,-2.71213,-12.1669,0.000161,-0.00016,2.6e-05,-2.5e-05,1.623,-1.555,138.0,-138.0,0.15,-0.15,0.143,-0.137,0.0986717,-0.0986717,0.048979,-0.048979
1697,EPIC 247396991.01,EPIC 247396991,2457833.597319,3.9,14.616783,,2.119,5174.0,4.615,0.821,71.665688,21.3717772,10.9276,-19.0519,0.004121,-0.0043,0.002679,-0.002648,0.168,-0.152,138.0,-138.0,0.15,-0.15,0.056,-0.05,0.0555417,-0.0555417,0.0281215,-0.0281215
1698,EPIC 247445728.01,EPIC 247445728,2457832.0479,,13.7579,,,4860.0,,0.76,68.7061785,21.7686992,8.4385,-35.8986,0.0039,-0.0042,0.02,-0.0017,,,,,,,0.07,-0.06,0.0868616,-0.0868616,0.0394253,-0.0394253
1699,EPIC 247560727.01,EPIC 247560727,2457822.6718,,3.3733,,1.5839,5634.0,4.494,0.779,75.4259195,22.6615625,4.92648,-9.82482,0.0026,-0.0019,0.0002,-0.0002,0.0781,-0.0781,138.0,-138.0,0.15,-0.15,0.059,-0.054,0.0933852,-0.0933852,0.057213,-0.057213
1700,EPIC 247560727.02,EPIC 247560727,2457826.7254,,8.4356,,2.9192,5634.0,4.494,0.779,75.4259195,22.6615625,4.92648,-9.82482,0.0017,-0.0018,0.001,-0.0006,0.408,-0.335,138.0,-138.0,0.15,-0.15,0.059,-0.054,0.0933852,-0.0933852,0.057213,-0.057213
1701,EPIC 247562358.01,EPIC 247562358,2457823.455079,1.9,3.09246,,2.413,4051.0,4.661,0.698,71.6844921,22.6740681,-4.88127,-23.8953,0.002424,-0.002742,0.000216,-0.000213,0.214,-0.185,138.0,-138.0,0.15,-0.15,0.054,-0.048,0.0840031,-0.0840031,0.038127,-0.038127
1702,EPIC 247698108.01,EPIC 247698108,2457828.876104,14.0,20.379434,,24.603,4993.0,3.279,4.259,71.7944376,23.6992627,3.57356,-3.4319,0.002256,-0.002212,0.00121,-0.001188,2.012,-1.886,138.0,-138.0,0.15,-0.15,0.338,-0.314,0.0847994,-0.0847994,0.0331059,-0.0331059
1703,EPIC 247708770.01,EPIC 247708770,2457823.711027,6.0,4.420394,,10.293,5943.0,3.917,2.875,75.5780574,23.7750248,1.20464,-1.20591,0.006291,-0.005708,0.000533,-0.000571,2.026,-1.635,138.0,-138.0,0.15,-0.15,0.555,-0.45,0.117597,-0.117597,0.0687433,-0.0687433
1704,EPIC 247724061.01,EPIC 247724061,2457821.619648,1.8,1.248905,,4.073,5496.0,4.235,1.289,70.8878625,23.8821947,-16.7631,-20.1749,0.002173,-0.001616,4.7e-05,-5.8e-05,0.796,-1.071,154.0,-154.0,0.151,-0.151,0.093,-0.085,0.077372,-0.077372,0.0378049,-0.0378049
1705,EPIC 247744801.01,EPIC 247744801,2457827.935,,12.505,,1.673,5214.0,4.466,0.975,71.9946922,24.0250298,30.5255,-20.4778,0.0016,-0.0018,0.0007,-0.0006,0.0825,-0.0772,138.0,-138.0,0.15,-0.15,0.065,-0.059,0.0536032,-0.0536032,0.0291703,-0.0291703
1706,EPIC 247856284.01,EPIC 247856284,2457821.455625,4.0,11.95706,,2.635,5292.0,4.579,0.829,74.8320695,24.7957033,40.0758,-29.2552,0.005095,-0.006017,0.002061,-0.001636,0.195,-0.175,138.0,-138.0,0.15,-0.15,0.055,-0.049,0.0595386,-0.0595386,0.0343284,-0.0343284
1707,EPIC 247874191.01,EPIC 247874191,2457822.5529,,7.624,,2.4551,5998.0,4.241,1.29,73.272889,24.916703,-3.83047,2.60948,0.004,-0.0034,0.0007,-0.001,0.1655,-0.1378,138.0,-138.0,0.15,-0.15,0.085,-0.08,0.071011,-0.071011,0.0362258,-0.0362258
1708,EPIC 247885088.01,EPIC 247885088,2457823.888272,1.5,6.363302,,2.786,4482.0,4.621,0.819,75.7580536,24.9899779,10.6487,-28.1186,0.002062,-0.001943,0.000277,-0.000273,0.368,-0.298,138.0,-138.0,0.15,-0.15,0.063,-0.057,0.0626069,-0.0626069,0.035187,-0.035187
1709,EPIC 247988033.01,EPIC 247988033,2457825.716383,2.2,5.164157,,1.006,3832.0,4.63,0.627,67.7006996,25.7166832,12.0,-123.0,0.001834,-0.002186,0.000328,-0.000305,0.052,-0.052,138.0,-138.0,0.03,-0.03,0.019,-0.019,8.0,-8.0,8.0,-8.0
1710,EPIC 248018863.01,EPIC 248018863,2457824.59358,5.2,18.001053,,3.794,5579.0,4.359,1.043,66.9226992,25.945608,1.50099,-31.5451,0.005445,-0.005164,0.002099,-0.00201,0.262,-0.235,138.0,-138.0,0.15,-0.15,0.065,-0.059,0.0712244,-0.0712244,0.0483383,-0.0483383
1711,EPIC 248222323.01,EPIC 248222323,2457821.671508,2.3,9.426901,,5.543,5895.0,4.184,1.427,72.3833733,27.6961582,13.1443,-23.4911,0.002382,-0.002539,0.00062,-0.000571,1.209,-0.646,138.0,-138.0,0.15,-0.15,0.085,-0.079,0.0800652,-0.0800652,0.0416349,-0.0416349
1712,EPIC 248420036.01,EPIC 248420036,2457908.246566,2.3,4.71688,,3.725,4846.0,4.679,0.701,157.9272674,0.3538401,-3.38202,6.26667,0.001131,-0.001077,0.000127,-0.000136,0.299,-0.263,138.0,-138.0,0.15,-0.15,0.051,-0.047,0.0625612,-0.0625612,0.0623458,-0.0623458
1713,EPIC 248526480.01,EPIC 248526480,2457914.893189,3.9,18.436944,,8.002,5308.0,4.529,0.853,160.5751257,3.9245804,-0.809359,1.75539,0.002597,-0.002191,0.001266,-0.001592,1.799,-0.942,138.0,-138.0,0.15,-0.15,0.069,-0.061,0.084195,-0.084195,0.0883347,-0.0883347
1714,EPIC 248527709.01,EPIC 248527709,2457909.586347,2.6,5.751763,,2.378,4256.0,4.623,0.726,153.3500149,3.9601293,-3.15172,-14.0971,0.001713,-0.002302,0.000214,-0.000164,0.195,-0.177,138.0,-138.0,0.15,-0.15,0.056,-0.052,0.0677343,-0.0677343,0.0647555,-0.0647555
