,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandep,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2
5939,114.050732,-48.063487,-1.2,2.1,-2.1,5.2,2.0,-2.0,2460011.60482,0.002093,-0.002093,1.8080364,3.9e-06,-3.9e-06,2.892,1264.0,,,,5354.5,17.2,-17.2,,,,,,
5940,6.756339,29.487271,15.063,0.065,-0.065,0.126,0.055,-0.055,2459878.295658,0.001374,-0.001374,3.5595352,1.2e-05,-1.2e-05,1.027,3006.0,5.24582,0.401915,-0.401915,5669.0,129.5,-129.5,4.5,0.08,-0.08,0.94,0.05,-0.05
5941,337.043134,49.57365,6.273,0.044,-0.044,-29.634,0.046,-0.046,2459880.418253,0.000553,-0.000553,3.7752321,6.9e-06,-6.9e-06,1.465,7352.0,10.759,0.586036,-0.586036,5585.0,127.8,-127.8,4.26,0.08,-0.08,1.22,0.06,-0.06
5942,1.612331,37.855275,50.437,0.03,-0.03,-5.123,0.018,-0.018,2459880.976064,0.002048,-0.002048,3.563037,9.4e-06,-9.4e-06,1.66,4185.0,7.13684,1.78858,-1.78858,4490.0,114.1,-114.1,4.43,0.09,-0.09,0.85,0.06,-0.06
5943,325.466208,50.502238,5.639,0.029,-0.029,3.478,0.029,-0.029,2459876.615391,0.002268,-0.002268,2.8953095,9.6e-06,-9.6e-06,4.137,5366.0,12.6737,0.663935,-0.663935,6526.0,125.8,-125.8,3.97,0.09,-0.09,1.98,0.09,-0.09
5944,354.917734,44.262228,-1.276,0.032,-0.032,-3.75,0.023,-0.023,2459871.681397,0.00342,-0.00342,8.6738593,0.000922,-0.000922,2.582,5327.0,12.6434,0.993653,-0.993653,6446.0,131.6,-131.6,4.09,0.09,-0.09,1.72,0.09,-0.09
5945,359.665284,33.820508,-11.447,0.063,-0.063,-14.081,0.038,-0.038,2459881.257523,0.001246,-0.001246,3.1989808,6.9e-06,-6.9e-06,0.785,1860.0,7.20813,0.777434,-0.777434,6442.9,103.8,-103.8,4.18,0.08,-0.08,1.54,0.06,-0.06
5946,334.179666,58.213671,8.191,0.033,-0.033,12.677,0.031,-0.031,2459876.327103,0.003531,-0.003531,3.6119975,2.05e-05,-2.05e-05,4.013,11983.0,10.1678,,,5979.0,122.0,-122.0,4.46,,,1.03,,
5947,13.638808,43.848313,2.018,0.043,-0.043,2.635,0.039,-0.039,2459880.365159,0.001479,-0.001479,3.7294859,8.8e-06,-8.8e-06,3.315,7112.0,9.77695,0.50829,-0.50829,5719.9,104.1,-104.1,4.26,0.07,-0.07,1.24,0.06,-0.06
5948,6.521798,49.599174,-0.569,0.084,-0.084,-4.847,0.05,-0.05,2459877.340534,0.001539,-0.001539,3.6166109,0.0005113,-0.0005113,2.711,7012.0,14.0162,1.0805,-1.0805,8143.0,127.5,-127.5,4.2,0.09,-0.09,1.85,0.13,-0.13
5949,9.199556,16.097112,90.335,0.126,-0.126,1.204,0.09,-0.09,2459877.909014,0.003111,-0.003111,3.8311803,2.81e-05,-2.81e-05,1.892,1170.0,5.75003,2.36448,-2.36448,5366.0,119.8,-119.8,4.5,0.08,-0.08,0.9,0.05,-0.05
5950,142.173446,-12.167165,35.872,0.105,-0.105,-389.854,0.082,-0.082,2458518.004514,0.000452,-0.000452,5.0988038,4.4e-06,-4.4e-06,1.0252822,2925.8222433,3.0503381,0.7816048,-0.7816048,3633.0,70.0,-70.0,4.80423,0.365746,-0.365746,0.547453,0.0165014,-0.0165014
5951,22.108031,32.136961,31.41,0.099,-0.099,6.646,0.104,-0.104,2459877.87044,0.000824,-0.000824,3.1923193,4.7e-06,-4.7e-06,1.548,5162.0,13.949,0.871677,-0.871677,6003.0,128.8,-128.8,3.96,0.08,-0.08,1.83,0.1,-0.1
5952,356.713162,36.026661,-0.54,2.0,-2.0,21.09,2.0,-2.0,2459880.993679,0.00076,-0.00076,2.9172231,3.3e-06,-3.3e-06,1.243,8434.0,,,,4843.0,28.1,-28.1,,,,,,
5953,335.852574,55.075529,-13.377,3.081,-3.081,-5.806,1.303,-1.303,2459876.667144,0.001646,-0.001646,2.8979408,7.5e-06,-7.5e-06,2.932,4503.0,12.4152,,,7767.0,,,,,,1.97,,
